function name,size,frame size,internal locations,jumps,detected loops,code xrefs,data xrefs,bitwise operations,max consecutive movs,function entropy,target
__do_global_dtors_aux,57,8,2,4,0,0,1,0,1,0.0,0
_6_aes128_enc_wb_final_aes128_enc_wb_final_split_8,94,96,0,0,0,0,0,0,12,0.0,0
_6_aes128_enc_wb_final_aes128_enc_wb_final_split_5,66,64,0,0,0,0,0,0,12,0.0,0
_6_aes128_enc_wb_final_aes128_enc_wb_final_split_1,355,64,4,4,1,0,7,8,10,4.998,0
main,391,176,18,20,4,0,5,1,9,5.059,0
_6_aes128_enc_wb_final_aes128_enc_wb_final_split_10,94,96,0,0,0,0,0,0,12,0.0,0
ShiftRows,283,40,6,6,0,0,0,0,4,4.185,0
_6_aes128_enc_wb_final_aes128_enc_wb_final_split_6,94,96,0,0,0,0,0,0,12,0.0,0
Txor_i$nit,1803,16,0,0,0,0,0,0,257,4.022,1
init_tigress,278,48,11,11,1,0,2,2,17,4.78,0
_6_aes128_enc_wb_final_aes128_enc_wb_final_split_3,66,64,0,0,0,0,0,0,12,0.0,0
_6_aes128_enc_wb_final_aes128_enc_wb_final_split_7,66,64,0,0,0,0,0,0,12,0.0,0
_6_aes128_enc_wb_final_aes128_enc_wb_final_split_4,94,96,0,0,0,0,0,0,12,0.0,0
Ty_i$nit,10251,16,0,0,0,0,0,0,1025,5.304,1
aes128_enc_wb_final,144,96,0,2,0,0,0,1,4,0.0,0
Tboxes__i$nit,28683,16,0,0,0,0,0,0,4097,4.298,1
megaInit,36,16,0,0,0,0,0,0,1,0.0,0
Tyboxes_i$nit,368651,16,0,0,0,0,0,0,36865,5.312,1
Tboxes_i$nit,286731,16,0,0,0,0,0,0,40961,4.284,1
_6_aes128_enc_wb_final_aes128_enc_wb_final_split_9,66,64,0,0,0,0,0,0,12,0.0,0
_6_aes128_enc_wb_final_aes128_enc_wb_final_split_2,3573,88,40,40,3,0,19,112,9,4.696,1
__do_global_dtors_aux,57,8,2,4,0,0,3,0,1,0.0,0
frame_dummy,9,8,0,1,0,0,0,0,0,0.0,0
init_tigress,11,16,0,0,0,0,0,0,1,0.0,0
ShiftRows,259,40,0,0,0,0,0,0,3,4.031,0
aes128_enc_wb_final,1662,96,26,28,3,0,29,33,9,4.811,1
main,287,144,10,12,2,0,5,1,6,4.916,0
ShiftRows,73,8,0,0,0,0,0,0,24,0.0,0
aes128_enc_wb_final,1698,185184,1584,2,0,0,0,0,152,4.374,1
sub_401842,30,0,0,2,0,0,0,0,9,0.0,0
main,664,64,2,2,0,0,33,33,3,4.608,0
ShiftRows,259,40,0,0,0,0,0,0,3,4.031,0
Ty_i$nit,10251,16,0,0,0,0,0,0,1025,5.316,1
megaInit,36,16,0,0,0,0,0,0,1,0.0,0
aes128_enc_wb_final,228,11280,2,2,0,0,1,4,4,0.0,1
sub_9BBF,95,0,0,0,0,0,0,0,4,0.0,0
sub_9C1E,95,0,1,1,0,0,0,0,3,0.0,0
sub_9C7D,95,0,1,1,0,0,0,0,3,0.0,0
sub_9CDC,59,0,1,1,0,0,0,0,4,0.0,0
sub_9D17,59,0,1,1,0,0,0,0,3,0.0,0
sub_9D52,171,0,15,15,0,0,0,1,3,0.0,0
sub_9DFD,59,0,1,1,0,0,0,0,3,0.0,0
sub_9E38,58,0,1,1,0,0,0,0,8,0.0,0
sub_9E72,93,0,1,1,0,0,0,0,4,0.0,0
sub_9ECF,96,0,1,1,0,0,0,0,4,0.0,0
sub_9F2F,55,0,1,1,0,0,0,0,7,0.0,0
sub_9F66,58,0,1,1,0,0,0,0,8,0.0,0
sub_9FA0,59,0,1,1,0,0,0,0,4,0.0,0
sub_9FDB,80,0,1,1,0,0,0,0,5,0.0,0
sub_A02B,69,0,1,1,0,0,0,0,4,0.0,0
sub_A070,266,0,36,36,0,0,0,0,5,4.634,0
sub_A17A,92,0,1,1,0,0,0,0,4,0.0,0
sub_A1D6,56,0,1,1,0,0,0,0,3,0.0,0
sub_A20E,81,0,1,1,0,0,0,0,3,0.0,0
sub_A25F,97,0,1,1,0,0,0,0,4,0.0,0
sub_A2C0,47,8,1,7,0,0,0,0,1,0.0,0
sub_A2EF,96,0,1,1,0,0,0,0,4,0.0,0
sub_A34F,97,0,1,1,0,0,0,0,3,0.0,0
sub_A3B0,60,0,1,1,0,0,0,0,8,0.0,0
sub_A3EC,96,0,1,1,0,0,0,0,4,0.0,0
sub_A44C,96,0,1,1,0,0,0,0,4,0.0,0
sub_A4AC,82,0,1,1,0,0,0,0,5,0.0,0
sub_A4FE,98,0,1,1,0,0,0,0,4,0.0,0
sub_A560,109,0,1,1,0,0,0,0,3,0.0,0
sub_A5CD,120,0,5,5,0,0,0,1,3,0.0,0
sub_A645,55,0,1,1,0,0,0,0,7,0.0,0
sub_A67C,97,0,1,1,0,0,0,0,3,0.0,0
sub_A6DD,96,0,1,1,0,0,0,0,3,0.0,0
sub_A73D,92,0,1,1,0,0,0,1,4,0.0,0
sub_A799,98,0,1,1,0,0,0,0,3,0.0,0
sub_A7FB,60,0,1,1,0,0,0,0,3,0.0,0
sub_A837,58,0,1,1,0,0,0,0,8,0.0,0
sub_A871,80,0,1,1,0,0,0,0,5,0.0,0
sub_A8C1,138,0,9,9,0,0,0,1,3,0.0,0
sub_A94B,92,0,1,1,0,0,0,0,4,0.0,0
init_tigress,11,16,0,0,0,0,0,0,1,0.0,0
Txor_i$nit,1803,16,0,0,0,0,0,0,257,4.016,1
main,391,176,18,20,4,0,5,1,9,5.081,0
Tboxes__i$nit,28683,16,0,0,0,0,0,0,4097,4.297,1
Tboxes_i$nit,286731,16,0,0,0,0,0,0,40961,4.296,1
Tyboxes_i$nit,368651,16,0,0,0,0,0,0,36865,5.255,1
